MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		positive regulation of inhibitory postsynaptic potential			ISO	RGD:620948 	J:155856 	
MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	12		regulation of membrane potential			ISO	Q2M3G0 	J:164563 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		regulation of mitochondrial depolarization			IMP		J:234537 	
MGI:109192	Actn2	actinin alpha 2	13		regulation of membrane potential			ISO	P35609 	J:164563 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		regulation of postsynaptic membrane potential			ISO	RGD:2037 	J:155856 	
MGI:99401	Adora1	adenosine A1 receptor	1		excitatory postsynaptic potential	happens in hippocampus CA3		IDA		J:120963 	
MGI:99401	Adora1	adenosine A1 receptor	1		excitatory postsynaptic potential			ISO	RGD:2048 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		excitatory postsynaptic potential			ISO	RGD:2049 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		inhibitory postsynaptic potential	happens in corpus striatum,happens in GABAergic neuron		IGI	MGI:95815 	J:60965 	
MGI:99402	Adora2a	adenosine A2a receptor	10		membrane depolarization			ISO	RGD:2049 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		regulation of mitochondrial membrane potential			ISO	RGD:2049 	J:155856 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of action potential			ISO	RGD:2055 	J:155856 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		inhibitory postsynaptic potential			ISO	RGD:2059 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		excitatory postsynaptic potential			ISO	RGD:2060 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of mini excitatory postsynaptic potential	is a part of positive regulation of AMPA receptor activity,regulates a function/process that happens in neuron		IGI	CPX-1070 	J:241478 	
MGI:1314653	Afdn	afadin, adherens junction formation factor	17		positive regulation of mini excitatory postsynaptic potential			ISO	RGD:708561 	J:155856 	
MGI:87961	Agrn	agrin	4		regulation of cardiac muscle cell membrane potential			IDA		J:151007 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of membrane hyperpolarization			ISO	P01019 	J:164563 	
MGI:3050566	Akap6	A kinase (PRKA) anchor protein 6	12		regulation of membrane repolarization			ISO	Q13023 	J:164563 	
MGI:1859150	Akap7	A kinase (PRKA) anchor protein 7	10		regulation of membrane repolarization			ISO	O43687 	J:164563 	
MGI:2178217	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	5		regulation of ventricular cardiac muscle cell membrane repolarization			IBA	PTN001053428 	J:265628 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		positive regulation of mitochondrial membrane potential			ISO	P31749 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		positive regulation of mitochondrial membrane potential			ISO	P31751 	J:164563 	
MGI:87998	Alox12	arachidonate 12-lipoxygenase	11		positive regulation of mitochondrial depolarization			ISO	RGD:1311159 	J:155856 	
MGI:88025	Ank2	ankyrin 2, brain	3		atrial cardiac muscle cell action potential			IMP		J:185021 	
MGI:88025	Ank2	ankyrin 2, brain	3		regulation of atrial cardiac muscle cell action potential			IMP		J:81699 	
MGI:88025	Ank2	ankyrin 2, brain	3		regulation of AV node cell action potential			IMP		J:81699 	
MGI:88025	Ank2	ankyrin 2, brain	3		regulation of cardiac muscle cell membrane potential	regulates a function/process that happens in heart,regulates a function/process that happens in cardiac muscle cell		IGI	Q9NZN3 	J:175049 	
MGI:88025	Ank2	ankyrin 2, brain	3		regulation of cardiac muscle cell membrane potential	regulates a function/process that happens in heart,regulates a function/process that happens in cardiac muscle cell		IMP		J:175049 	
MGI:88025	Ank2	ankyrin 2, brain	3		regulation of SA node cell action potential			IMP		J:81699 	
MGI:88025	Ank2	ankyrin 2, brain	3		SA node cell action potential			IMP		J:186061 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		neuronal action potential			IMP		J:51377 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		positive regulation of action potential			TAS		J:106271 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		positive regulation of membrane depolarization during cardiac muscle cell action potential			ISO	RGD:620157 	J:155856 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		positive regulation of membrane potential			ISO	RGD:620157 	J:155856 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		regulation of membrane potential	happens in small intestine		IGI	MGI:1918361 	J:192254 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		regulation of membrane potential	happens in small intestine		IMP		J:192254 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		modulation of excitatory postsynaptic potential			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of excitatory postsynaptic potential			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		regulation of acetylcholine-gated cation channel activity			ISO	P05067 	J:164563 	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	6		negative regulation of mitochondrial membrane potential			ISO	O75915 	J:164563 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		regulation of membrane potential			IMP	MGI:2179834 	J:152937 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		regulation of membrane potential	happens in dorsal root ganglion,has the participant neuron		IMP	MGI:2180111 	J:164935 	
MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	3		membrane hyperpolarization			ISO	RGD:2167 	J:155856 	
