MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		regulation of mitochondrial depolarization			IMP		J:234537 	
MGI:99402	Adora2a	adenosine A2a receptor	10		membrane depolarization			ISO	RGD:2049 	J:155856 	
MGI:87998	Alox12	arachidonate 12-lipoxygenase	11		positive regulation of mitochondrial depolarization			ISO	RGD:1311159 	J:155856 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		positive regulation of membrane depolarization during cardiac muscle cell action potential			ISO	RGD:620157 	J:155856 	
MGI:1196457	Atpif1	ATPase inhibitory factor 1	4		mitochondrial depolarization			ISO	Q9UII2 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		regulation of membrane depolarization			ISO	P61769 	J:164563 	
MGI:2387588	Best2	bestrophin 2	8		membrane depolarization			IDA		J:127173 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		negative regulation of mitochondrial depolarization			IMP		J:235305 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in hippocampus CA3,happens in pyramidal neuron		IMP	MGI:1856209 	J:18102 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in dorsal root ganglion,happens in neuron		IMP	MGI:1856210 	J:72853 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856211 	J:63634 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during atrial cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during AV node cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		membrane depolarization during SA node cell action potential	happens in sinoatrial node,happens in cardiac pacemaker cell of sinoatrial node		IMP	MGI:2180141 	J:99822 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		membrane depolarization during SA node cell action potential			ISO	Q01668 	J:164563 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during AV node cell action potential			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during SA node cell action potential			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		regulation of atrial cardiac muscle cell membrane depolarization	regulates a function/process that happens in sinoatrial node		IMP	MGI:2182962 	J:122634 	
MGI:1928842	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit	17		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	15		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		membrane depolarization during bundle of His cell action potential			ISO	P54289 	J:164563 	
MGI:894644	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	2		membrane depolarization during atrial cardiac muscle cell action potential			ISO	Q08289 	J:164563 	
MGI:894644	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	2		membrane depolarization during AV node cell action potential			ISO	Q08289 	J:164563 	
MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	15		membrane depolarization	happens in neocortex		IMP	MGI:1856548 	J:40687 	
MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	3		regulation of membrane depolarization			ISO	Q13557 	J:164563 	
MGI:96544	Casp1	caspase 1	9		mitochondrial depolarization			IMP		J:192731 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		membrane depolarization	happens in cerebral artery,happens in smooth muscle cell		IMP	MGI:2180364 	J:120603 	
MGI:107570	Cav3	caveolin 3	6		negative regulation of membrane depolarization during cardiac muscle cell action potential	happens in regular ventricular cardiac myocyte,happens in UBERON:0007221		IMP		J:217301 	
